,league,season,team_x,player_name,nationality,position,age,YOB,MP,Starts,Min,90s_r,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Unnamed: 78,Unnamed: 79,xA,A-xAG,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Live,Dead,FK.1,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp.4,Off,Blocks,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,SCA,SCA90,PassLive,PassDead,TO,Sh.1,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.2,Fld.1,Def.1,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Lost,Blocks.1,Sh.3,Pass,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Touches,Def Pen,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Att Pen,Live.1,Att.5,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.1,PrgDist.1,PrgC.1,1/3,CPA,Mis,Dis,Rec,PrgR.1,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,MP.1,Min.1,Mn/MP,Min%,90s,Starts.1,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,team_id,player_id,league_id,market_value_in_eur,team_y
539,ITA-Serie A,1920,Inter,Romelu Lukaku,BEL,FW,26.0,1993.0,36.0,33.0,2979.0,33.1,23.0,2.0,25.0,17.0,6.0,6.0,2.0,0.0,19.0,14.3,4.5,18.8,48.0,76.0,289.0,0.69,0.06,0.76,0.51,0.57,0.57,0.14,0.71,0.43,0.57,BEL,FW,26.0,1993.0,33.1,23.0,93.0,41.0,44.1,2.81,1.24,0.18,0.41,14.9,1.0,6.0,6.0,19.0,14.3,0.15,4.0,2.7,BEL,FW,26.0,1993.0,33.1,554.0,807.0,68.6,7224.0,1429.0,338.0,455.0,74.3,118.0,177.0,66.7,33.0,44.0,75.0,2.0,4.5,3.1,-2.5,53.0,33.0,26.0,4.0,76.0,BEL,FW,26.0,1993.0,33.1,807.0,752.0,47.0,0.0,3.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,554.0,8.0,24.0,BEL,FW,26.0,1993.0,33.1,115.0,3.47,94.0,0.0,11.0,9.0,1.0,0.0,13.0,0.39,10.0,0.0,1.0,2.0,0.0,0.0,BEL,FW,26.0,1993.0,33.1,13.0,7.0,4.0,7.0,2.0,3.0,10.0,30.0,7.0,14.0,6.0,8.0,1.0,14.0,28.0,0.0,BEL,FW,26.0,1993.0,33.1,1116.0,31.0,50.0,467.0,609.0,204.0,1110.0,38.0,21.0,55.3,17.0,44.7,617.0,3027.0,1395.0,48.0,35.0,30.0,70.0,67.0,895.0,289.0,BEL,FW,26.0,1993.0,36,2979.0,83.0,87.1,33.1,33,88.0,25.0,3,27.0,0,2.11,67.0,31.0,36.0,1.09,-0.75,58.5,35.6,22.8,0.69,-0.51,46,96341,IT1,81000000.0,Inter Milan
540,ITA-Serie A,1920,Inter,Sebastiano Esposito,ITA,FW,17.0,2002.0,7.0,2.0,199.0,2.2,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.8,1.0,0.1,1.1,2.0,5.0,19.0,0.45,0.0,0.45,0.0,0.0,0.81,0.06,0.87,0.45,0.52,ITA,FW,17.0,2002.0,2.2,1.0,10.0,3.0,30.0,4.52,1.36,0.0,0.0,19.2,1.0,1.0,1.0,1.8,1.0,0.1,-0.8,-1.0,ITA,FW,17.0,2002.0,2.2,41.0,67.0,61.2,653.0,171.0,29.0,40.0,72.5,6.0,9.0,66.7,6.0,12.0,50.0,0.0,0.1,0.1,-0.1,4.0,3.0,2.0,0.0,5.0,ITA,FW,17.0,2002.0,2.2,67.0,58.0,9.0,1.0,1.0,0.0,7.0,1.0,6.0,6.0,0.0,0.0,41.0,0.0,3.0,ITA,FW,17.0,2002.0,2.2,9.0,4.07,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,FW,17.0,2002.0,2.2,3.0,2.0,0.0,2.0,1.0,0.0,5.0,0.0,5.0,3.0,0.0,3.0,3.0,6.0,1.0,0.0,ITA,FW,17.0,2002.0,2.2,111.0,1.0,11.0,30.0,71.0,20.0,110.0,4.0,0.0,0.0,4.0,100.0,60.0,185.0,73.0,2.0,1.0,1.0,8.0,1.0,62.0,19.0,ITA,FW,17.0,2002.0,7,199.0,28.0,5.8,2.2,2,74.0,1.0,5,10.0,25,2.38,8.0,1.0,7.0,3.17,2.1,4.8,1.9,3.0,1.35,0.63,46,538918,IT1,7000000.0,Inter Milan
541,ITA-Serie A,1920,Inter,Stefan de Vrij,NED,DF,27.0,1992.0,34.0,32.0,2830.0,31.4,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.0,2.0,0.7,2.7,21.0,94.0,0.0,0.13,0.1,0.22,0.13,0.22,0.06,0.02,0.09,0.06,0.09,NED,DF,27.0,1992.0,31.4,4.0,20.0,6.0,30.0,0.64,0.19,0.2,0.67,12.0,0.0,0.0,0.0,2.0,2.0,0.1,2.0,2.0,NED,DF,27.0,1992.0,31.4,1530.0,1670.0,91.6,32543.0,10307.0,332.0,357.0,93.0,961.0,1002.0,95.9,215.0,270.0,79.6,3.0,0.7,0.7,2.3,10.0,70.0,7.0,0.0,94.0,NED,DF,27.0,1992.0,31.4,1670.0,1629.0,37.0,35.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1530.0,4.0,8.0,NED,DF,27.0,1992.0,31.4,27.0,0.86,22.0,1.0,0.0,3.0,0.0,1.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,NED,DF,27.0,1992.0,31.4,33.0,18.0,20.0,12.0,1.0,14.0,27.0,51.9,13.0,34.0,24.0,10.0,52.0,85.0,121.0,1.0,NED,DF,27.0,1992.0,31.4,1964.0,227.0,922.0,1001.0,49.0,23.0,1964.0,9.0,8.0,88.9,1.0,11.1,1144.0,7555.0,4483.0,21.0,12.0,0.0,9.0,0.0,1308.0,0.0,NED,DF,27.0,1992.0,34,2830.0,83.0,82.7,31.4,32,86.0,30.0,2,32.0,3,2.06,61.0,32.0,29.0,0.92,-1.52,55.3,36.1,19.3,0.61,-0.83,46,111196,IT1,51500000.0,Inter Milan
542,ITA-Serie A,1920,Juventus,Adrien Rabiot,FRA,MF,24.0,1995.0,28.0,21.0,1912.0,21.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,1.5,1.5,1.2,2.7,56.0,87.0,80.0,0.05,0.05,0.09,0.05,0.09,0.07,0.06,0.13,0.07,0.13,FRA,MF,24.0,1995.0,21.2,1.0,20.0,6.0,30.0,0.94,0.28,0.05,0.17,19.1,0.0,0.0,0.0,1.5,1.5,0.07,-0.5,-0.5,FRA,MF,24.0,1995.0,21.2,996.0,1124.0,88.6,14033.0,2785.0,561.0,610.0,92.0,326.0,352.0,92.6,44.0,57.0,77.2,1.0,1.2,0.8,-0.2,14.0,79.0,7.0,1.0,87.0,FRA,MF,24.0,1995.0,21.2,1124.0,1108.0,15.0,3.0,2.0,4.0,20.0,12.0,0.0,0.0,0.0,0.0,996.0,1.0,19.0,FRA,MF,24.0,1995.0,21.2,53.0,2.49,38.0,0.0,5.0,3.0,5.0,2.0,6.0,0.28,2.0,0.0,2.0,1.0,1.0,0.0,FRA,MF,24.0,1995.0,21.2,47.0,31.0,16.0,19.0,12.0,15.0,41.0,36.6,26.0,36.0,6.0,30.0,32.0,79.0,19.0,0.0,FRA,MF,24.0,1995.0,21.2,1360.0,40.0,220.0,738.0,422.0,37.0,1360.0,48.0,36.0,75.0,12.0,25.0,955.0,5204.0,2474.0,56.0,40.0,9.0,33.0,24.0,1010.0,80.0,FRA,MF,24.0,1995.0,28,1912.0,68.0,55.9,21.2,21,82.0,13.0,7,27.0,6,2.25,45.0,22.0,23.0,1.08,0.49,39.5,21.8,17.7,0.83,0.33,506,182913,IT1,28750000.0,Juventus FC
543,ITA-Serie A,1920,Juventus,Alex Sandro,BRA,DF,28.0,1991.0,29.0,27.0,2385.0,26.5,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,2.1,2.8,91.0,151.0,83.0,0.04,0.11,0.15,0.04,0.15,0.03,0.08,0.11,0.03,0.11,BRA,DF,28.0,1991.0,26.5,1.0,16.0,4.0,25.0,0.6,0.15,0.06,0.25,17.8,0.0,0.0,0.0,0.8,0.8,0.05,0.2,0.2,BRA,DF,28.0,1991.0,26.5,1687.0,1983.0,85.1,27574.0,8739.0,820.0,887.0,92.4,697.0,790.0,88.2,126.0,207.0,60.9,3.0,2.1,2.0,0.9,33.0,110.0,40.0,13.0,151.0,BRA,DF,28.0,1991.0,26.5,1983.0,1726.0,245.0,31.0,2.0,13.0,67.0,214.0,0.0,0.0,0.0,0.0,1687.0,12.0,23.0,BRA,DF,28.0,1991.0,26.5,78.0,2.94,64.0,4.0,3.0,1.0,6.0,0.0,7.0,0.26,6.0,0.0,0.0,1.0,0.0,0.0,BRA,DF,28.0,1991.0,26.5,44.0,26.0,23.0,14.0,7.0,12.0,33.0,36.4,21.0,26.0,6.0,20.0,47.0,91.0,46.0,3.0,BRA,DF,28.0,1991.0,26.5,2244.0,86.0,541.0,1119.0,602.0,30.0,2244.0,56.0,37.0,66.1,19.0,33.9,1462.0,7224.0,3972.0,91.0,88.0,10.0,23.0,16.0,1538.0,83.0,BRA,DF,28.0,1991.0,29,2385.0,82.0,69.7,26.5,27,87.0,24.0,2,24.0,3,2.03,48.0,31.0,17.0,0.64,-0.75,52.0,32.8,19.3,0.73,0.13,506,79960,IT1,34000000.0,Juventus FC
544,ITA-Serie A,1920,Juventus,Blaise Matuidi,FRA,MF,32.0,1987.0,35.0,23.0,2237.0,24.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.6,2.5,22.0,95.0,118.0,0.0,0.08,0.08,0.0,0.08,0.04,0.07,0.1,0.04,0.1,FRA,MF,32.0,1987.0,24.9,0.0,14.0,6.0,42.9,0.56,0.24,0.0,0.0,20.0,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,FRA,MF,32.0,1987.0,24.9,951.0,1100.0,86.5,12793.0,3375.0,573.0,616.0,93.0,284.0,326.0,87.1,37.0,57.0,64.9,2.0,1.6,1.0,0.4,19.0,71.0,18.0,5.0,95.0,FRA,MF,32.0,1987.0,24.9,1100.0,1062.0,35.0,8.0,2.0,1.0,40.0,26.0,1.0,0.0,0.0,0.0,951.0,3.0,15.0,FRA,MF,32.0,1987.0,24.9,54.0,2.17,49.0,0.0,0.0,0.0,2.0,3.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,FRA,MF,32.0,1987.0,24.9,48.0,27.0,13.0,27.0,8.0,13.0,34.0,38.2,21.0,35.0,6.0,29.0,22.0,70.0,16.0,0.0,FRA,MF,32.0,1987.0,24.9,1366.0,28.0,193.0,770.0,409.0,38.0,1366.0,24.0,9.0,37.5,15.0,62.5,847.0,2880.0,1108.0,22.0,14.0,2.0,40.0,17.0,990.0,118.0,FRA,MF,32.0,1987.0,35,2237.0,64.0,65.4,24.9,23,85.0,16.0,12,23.0,3,2.26,47.0,26.0,21.0,0.84,-0.07,42.4,30.4,12.0,0.48,-0.59,506,33923,IT1,9500000.0,Juventus FC
545,ITA-Serie A,1920,Juventus,Daniele Rugani,ITA,DF,25.0,1994.0,10.0,7.0,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,ITA,DF,25.0,1994.0,7.7,0.0,6.0,2.0,33.3,0.78,0.26,0.0,0.0,16.8,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,ITA,DF,25.0,1994.0,7.7,393.0,452.0,86.9,6744.0,2830.0,160.0,177.0,90.4,205.0,233.0,88.0,22.0,30.0,73.3,0.0,0.0,0.1,0.0,0.0,16.0,0.0,0.0,17.0,ITA,DF,25.0,1994.0,7.7,452.0,444.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,1.0,1.0,ITA,DF,25.0,1994.0,7.7,4.0,0.52,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,ITA,DF,25.0,1994.0,7.7,8.0,6.0,4.0,4.0,0.0,4.0,5.0,80.0,1.0,4.0,4.0,0.0,11.0,19.0,18.0,0.0,ITA,DF,25.0,1994.0,7.7,509.0,36.0,210.0,286.0,14.0,6.0,509.0,0.0,0.0,,0.0,,314.0,1405.0,681.0,2.0,2.0,0.0,1.0,0.0,350.0,0.0,ITA,DF,25.0,1994.0,10,690.0,69.0,20.2,7.7,7,90.0,7.0,3,20.0,27,1.6,11.0,15.0,-4.0,-0.52,-1.74,15.3,9.5,5.8,0.76,0.09,506,162959,IT1,13500000.0,Juventus FC
546,ITA-Serie A,1920,Juventus,Danilo,BRA,DF,28.0,1991.0,22.0,16.0,1440.0,16.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.9,0.9,0.7,1.7,40.0,97.0,65.0,0.12,0.0,0.12,0.12,0.12,0.06,0.05,0.1,0.06,0.1,BRA,DF,28.0,1991.0,16.0,2.0,14.0,4.0,28.6,0.87,0.25,0.14,0.5,24.3,0.0,0.0,0.0,0.9,0.9,0.07,1.1,1.1,BRA,DF,28.0,1991.0,16.0,1057.0,1231.0,85.9,16439.0,5014.0,563.0,601.0,93.7,387.0,431.0,89.8,73.0,136.0,53.7,0.0,0.7,0.9,-0.7,15.0,88.0,19.0,3.0,97.0,BRA,DF,28.0,1991.0,16.0,1231.0,1102.0,128.0,20.0,1.0,10.0,29.0,108.0,0.0,0.0,0.0,0.0,1057.0,1.0,15.0,BRA,DF,28.0,1991.0,16.0,46.0,2.87,37.0,1.0,1.0,4.0,2.0,1.0,5.0,0.31,4.0,0.0,0.0,1.0,0.0,0.0,BRA,DF,28.0,1991.0,16.0,30.0,20.0,16.0,12.0,2.0,18.0,30.0,60.0,12.0,12.0,3.0,9.0,26.0,56.0,44.0,0.0,BRA,DF,28.0,1991.0,16.0,1382.0,52.0,353.0,720.0,320.0,15.0,1382.0,19.0,15.0,78.9,4.0,21.1,813.0,3268.0,1960.0,40.0,31.0,6.0,12.0,3.0,980.0,65.0,BRA,DF,28.0,1991.0,22,1440.0,65.0,42.1,16.0,16,75.0,10.0,6,41.0,9,2.09,33.0,27.0,6.0,0.37,-0.85,24.8,22.5,2.3,0.15,-0.94,506,145707,IT1,16500000.0,Juventus FC
547,ITA-Serie A,1920,Juventus,Danilo,BRA,DF,28.0,1991.0,22.0,16.0,1440.0,16.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.9,0.9,0.7,1.7,40.0,97.0,65.0,0.12,0.0,0.12,0.12,0.12,0.06,0.05,0.1,0.06,0.1,BRA,DF,28.0,1991.0,16.0,2.0,14.0,4.0,28.6,0.87,0.25,0.14,0.5,24.3,0.0,0.0,0.0,0.9,0.9,0.07,1.1,1.1,BRA,DF,28.0,1991.0,16.0,1057.0,1231.0,85.9,16439.0,5014.0,563.0,601.0,93.7,387.0,431.0,89.8,73.0,136.0,53.7,0.0,0.7,0.9,-0.7,15.0,88.0,19.0,3.0,97.0,BRA,DF,28.0,1991.0,16.0,1231.0,1102.0,128.0,20.0,1.0,10.0,29.0,108.0,0.0,0.0,0.0,0.0,1057.0,1.0,15.0,BRA,DF,28.0,1991.0,16.0,46.0,2.87,37.0,1.0,1.0,4.0,2.0,1.0,5.0,0.31,4.0,0.0,0.0,1.0,0.0,0.0,BRA,DF,28.0,1991.0,16.0,30.0,20.0,16.0,12.0,2.0,18.0,30.0,60.0,12.0,12.0,3.0,9.0,26.0,56.0,44.0,0.0,BRA,DF,28.0,1991.0,16.0,1382.0,52.0,353.0,720.0,320.0,15.0,1382.0,19.0,15.0,78.9,4.0,21.1,813.0,3268.0,1960.0,40.0,31.0,6.0,12.0,3.0,980.0,65.0,BRA,DF,28.0,1991.0,22,1440.0,65.0,42.1,16.0,16,75.0,10.0,6,41.0,9,2.09,33.0,27.0,6.0,0.37,-0.85,24.8,22.5,2.3,0.15,-0.94,1025,32816,IT1,575000.0,Bologna FC 1909
548,ITA-Serie A,1920,Juventus,Douglas Costa,BRA,"FW,MF",28.0,1990.0,23.0,7.0,802.0,8.9,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,3.8,4.5,47.0,60.0,112.0,0.11,0.45,0.56,0.11,0.56,0.08,0.43,0.51,0.08,0.51,BRA,"FW,MF",28.0,1990.0,8.9,1.0,18.0,8.0,44.4,2.02,0.9,0.06,0.13,22.3,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,BRA,"FW,MF",28.0,1990.0,8.9,384.0,486.0,79.0,6226.0,1719.0,209.0,229.0,91.3,115.0,139.0,82.7,42.0,69.0,60.9,4.0,3.8,2.6,0.2,30.0,40.0,13.0,2.0,60.0,BRA,"FW,MF",28.0,1990.0,8.9,486.0,449.0,35.0,4.0,2.0,10.0,38.0,15.0,15.0,7.0,4.0,0.0,384.0,2.0,12.0,BRA,"FW,MF",28.0,1990.0,8.9,52.0,5.84,38.0,7.0,4.0,0.0,2.0,1.0,5.0,0.56,5.0,0.0,0.0,0.0,0.0,0.0,BRA,"FW,MF",28.0,1990.0,8.9,2.0,1.0,1.0,1.0,0.0,1.0,12.0,8.3,11.0,7.0,0.0,7.0,5.0,7.0,5.0,0.0,BRA,"FW,MF",28.0,1990.0,8.9,599.0,8.0,49.0,268.0,299.0,37.0,599.0,62.0,43.0,69.4,19.0,30.6,432.0,3085.0,1616.0,47.0,35.0,17.0,25.0,15.0,485.0,112.0,BRA,"FW,MF",28.0,1990.0,23,802.0,35.0,23.5,8.9,7,62.0,1.0,16,23.0,2,2.22,28.0,9.0,19.0,2.13,1.65,19.2,8.7,10.5,1.17,0.63,506,75615,IT1,27000000.0,Juventus FC
549,ITA-Serie A,1920,Juventus,Federico Bernardeschi,ITA,"MF,FW",25.0,1994.0,29.0,19.0,1571.0,17.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,4.4,4.4,3.4,7.9,45.0,56.0,126.0,0.06,0.06,0.11,0.06,0.11,0.25,0.2,0.45,0.25,0.45,ITA,"MF,FW",25.0,1994.0,17.5,1.0,50.0,9.0,18.0,2.86,0.52,0.02,0.11,20.0,2.0,0.0,0.0,4.4,4.4,0.09,-3.4,-3.4,ITA,"MF,FW",25.0,1994.0,17.5,565.0,692.0,81.6,8628.0,2083.0,301.0,334.0,90.1,174.0,213.0,81.7,49.0,76.0,64.5,1.0,3.4,3.1,-2.4,34.0,40.0,23.0,4.0,56.0,ITA,"MF,FW",25.0,1994.0,17.5,692.0,639.0,51.0,17.0,3.0,11.0,55.0,10.0,23.0,3.0,16.0,0.0,565.0,2.0,18.0,ITA,"MF,FW",25.0,1994.0,17.5,66.0,3.78,45.0,9.0,3.0,3.0,6.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,ITA,"MF,FW",25.0,1994.0,17.5,13.0,5.0,4.0,5.0,4.0,5.0,25.0,20.0,20.0,11.0,0.0,11.0,13.0,26.0,12.0,1.0,ITA,"MF,FW",25.0,1994.0,17.5,899.0,18.0,82.0,366.0,460.0,49.0,899.0,42.0,22.0,52.4,20.0,47.6,628.0,3509.0,1378.0,45.0,36.0,12.0,42.0,23.0,691.0,126.0,ITA,"MF,FW",25.0,1994.0,29,1571.0,54.0,45.9,17.5,19,69.0,5.0,10,27.0,6,2.03,27.0,24.0,3.0,0.17,-1.29,33.5,22.6,10.9,0.63,-0.12,506,197300,IT1,27666666.666666668,Juventus FC
550,ITA-Serie A,1920,Juventus,Gianluigi Buffon,ITA,GK,41.0,1978.0,9.0,9.0,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,41.0,1978.0,9.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,ITA,GK,41.0,1978.0,9.0,191.0,208.0,91.8,4081.0,2730.0,51.0,51.0,100.0,99.0,99.0,100.0,35.0,51.0,68.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,ITA,GK,41.0,1978.0,9.0,208.0,145.0,63.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,1.0,ITA,GK,41.0,1978.0,9.0,2.0,0.22,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,41.0,1978.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,ITA,GK,41.0,1978.0,9.0,225.0,198.0,224.0,1.0,0.0,0.0,225.0,0.0,0.0,,0.0,,124.0,538.0,378.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,ITA,GK,41.0,1978.0,9,810.0,90.0,23.7,9.0,9,90.0,9.0,0,,29,2.44,19.0,10.0,9.0,1.0,0.17,19.1,8.8,10.3,1.14,0.6,506,5023,IT1,1000000.0,Juventus FC
551,ITA-Serie A,1920,Juventus,Giorgio Chiellini,ITA,DF,34.0,1984.0,4.0,3.0,202.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,3.0,0.0,0.45,0.0,0.45,0.45,0.45,0.09,0.0,0.09,0.09,0.09,ITA,DF,34.0,1984.0,2.2,1.0,1.0,1.0,100.0,0.45,0.45,1.0,1.0,8.6,0.0,0.0,0.0,0.2,0.2,0.19,0.8,0.8,ITA,DF,34.0,1984.0,2.2,97.0,111.0,87.4,1767.0,527.0,31.0,35.0,88.6,57.0,64.0,89.1,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,ITA,DF,34.0,1984.0,2.2,111.0,110.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,1.0,ITA,DF,34.0,1984.0,2.2,3.0,1.34,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,DF,34.0,1984.0,2.2,3.0,0.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,0.0,1.0,4.0,9.0,0.0,ITA,DF,34.0,1984.0,2.2,128.0,18.0,52.0,72.0,4.0,2.0,128.0,1.0,1.0,100.0,0.0,0.0,72.0,409.0,316.0,6.0,1.0,1.0,1.0,0.0,90.0,0.0,ITA,DF,34.0,1984.0,4,202.0,51.0,5.9,2.2,3,63.0,1.0,1,13.0,4,2.5,4.0,1.0,3.0,1.34,0.5,3.6,2.1,1.6,0.69,0.01,506,29260,IT1,3000000.0,Juventus FC
552,ITA-Serie A,1920,Juventus,Gonzalo Higuaín,ARG,FW,31.0,1987.0,32.0,20.0,1866.0,20.7,8.0,4.0,12.0,8.0,0.0,0.0,2.0,0.0,9.7,9.7,4.3,14.0,45.0,55.0,152.0,0.39,0.19,0.58,0.39,0.58,0.47,0.21,0.68,0.47,0.68,ARG,FW,31.0,1987.0,20.7,8.0,75.0,33.0,44.0,3.62,1.59,0.11,0.24,15.4,0.0,0.0,0.0,9.7,9.7,0.13,-1.7,-1.7,ARG,FW,31.0,1987.0,20.7,523.0,645.0,81.1,8624.0,1209.0,248.0,285.0,87.0,172.0,204.0,84.3,61.0,74.0,82.4,4.0,4.3,3.0,-0.3,38.0,41.0,16.0,2.0,55.0,ARG,FW,31.0,1987.0,20.7,645.0,613.0,30.0,0.0,3.0,8.0,11.0,1.0,0.0,0.0,0.0,0.0,523.0,2.0,15.0,ARG,FW,31.0,1987.0,20.7,90.0,4.34,68.0,0.0,11.0,8.0,2.0,1.0,5.0,0.24,4.0,0.0,1.0,0.0,0.0,0.0,ARG,FW,31.0,1987.0,20.7,13.0,7.0,2.0,6.0,5.0,4.0,31.0,12.9,27.0,12.0,0.0,12.0,6.0,19.0,14.0,0.0,ARG,FW,31.0,1987.0,20.7,840.0,16.0,45.0,362.0,445.0,106.0,840.0,35.0,23.0,65.7,12.0,34.3,536.0,2405.0,1065.0,45.0,28.0,15.0,34.0,20.0,668.0,152.0,ARG,FW,31.0,1987.0,32,1866.0,58.0,54.6,20.7,20,79.0,7.0,12,23.0,2,2.13,41.0,25.0,16.0,0.77,-0.21,39.3,25.4,13.9,0.67,-0.04,506,39153,IT1,17750000.0,Juventus FC
553,ITA-Serie A,1920,Juventus,Juan Cuadrado,COL,"DF,FW",31.0,1988.0,33.0,28.0,2654.0,29.5,2.0,5.0,7.0,2.0,0.0,0.0,7.0,1.0,1.2,1.2,4.3,5.5,129.0,174.0,189.0,0.07,0.17,0.24,0.07,0.24,0.04,0.15,0.19,0.04,0.19,COL,"DF,FW",31.0,1988.0,29.5,2.0,20.0,5.0,25.0,0.68,0.17,0.1,0.4,19.6,0.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8,COL,"DF,FW",31.0,1988.0,29.5,2032.0,2318.0,87.7,33507.0,11397.0,983.0,1050.0,93.6,818.0,902.0,90.7,164.0,254.0,64.6,5.0,4.3,3.5,0.7,44.0,188.0,49.0,19.0,174.0,COL,"DF,FW",31.0,1988.0,29.5,2318.0,2063.0,251.0,49.0,4.0,37.0,86.0,202.0,0.0,0.0,0.0,0.0,2032.0,4.0,20.0,COL,"DF,FW",31.0,1988.0,29.5,111.0,3.76,97.0,2.0,4.0,1.0,5.0,2.0,10.0,0.34,9.0,0.0,0.0,0.0,1.0,0.0,COL,"DF,FW",31.0,1988.0,29.5,67.0,43.0,32.0,28.0,7.0,35.0,62.0,56.5,27.0,22.0,8.0,14.0,35.0,102.0,47.0,0.0,COL,"DF,FW",31.0,1988.0,29.5,2622.0,64.0,572.0,1329.0,752.0,45.0,2622.0,71.0,42.0,59.2,29.0,40.8,1815.0,8904.0,5574.0,129.0,117.0,25.0,34.0,28.0,1945.0,189.0,COL,"DF,FW",31.0,1988.0,33,2654.0,80.0,77.6,29.5,28,89.0,26.0,5,34.0,3,2.21,60.0,26.0,34.0,1.15,1.27,58.2,31.6,26.7,0.9,0.96,506,91970,IT1,16250000.0,Juventus FC
