,league,season,team_x,player_name,nationality,position,age,YOB,MP,Starts,Min,90s_r,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Unnamed: 78,Unnamed: 79,xA,A-xAG,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Live,Dead,FK.1,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp.4,Off,Blocks,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,SCA,SCA90,PassLive,PassDead,TO,Sh.1,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.2,Fld.1,Def.1,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Lost,Blocks.1,Sh.3,Pass,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Touches,Def Pen,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Att Pen,Live.1,Att.5,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.1,PrgDist.1,PrgC.1,1/3,CPA,Mis,Dis,Rec,PrgR.1,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,MP.1,Min.1,Mn/MP,Min%,90s,Starts.1,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,team_id,player_id,league_id,market_value_in_eur,team_y
0,GER-Bundesliga,1718,Leverkusen,Panagiotis Retsos,GRE,DF,18.0,1998.0,24.0,18.0,1716.0,19.1,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.7,0.7,1.2,1.8,20.0,93.0,29.0,0.05,0.16,0.21,0.05,0.21,0.04,0.06,0.1,0.04,0.1,GRE,DF,18.0,1998.0,19.1,1.0,11.0,2.0,18.2,0.58,0.1,0.09,0.5,13.9,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,GRE,DF,18.0,1998.0,19.1,1006.0,1208.0,83.3,17594.0,7300.0,471.0,526.0,89.5,436.0,509.0,85.7,87.0,130.0,66.9,3.0,1.2,1.2,1.8,7.0,72.0,5.0,1.0,93.0,GRE,DF,18.0,1998.0,19.1,1208.0,1049.0,153.0,28.0,1.0,13.0,16.0,125.0,0.0,0.0,0.0,0.0,1006.0,6.0,19.0,GRE,DF,18.0,1998.0,19.1,25.0,1.31,21.0,3.0,1.0,0.0,0.0,0.0,8.0,0.42,6.0,1.0,1.0,0.0,0.0,0.0,GRE,DF,18.0,1998.0,19.1,48.0,40.0,32.0,14.0,2.0,33.0,46.0,71.7,13.0,29.0,8.0,21.0,29.0,77.0,47.0,0.0,GRE,DF,18.0,1998.0,19.1,1406.0,67.0,513.0,746.0,157.0,21.0,1406.0,25.0,15.0,60.0,10.0,40.0,806.0,4099.0,2002.0,20.0,17.0,2.0,23.0,16.0,845.0,29.0,GRE,DF,18,1998,24,1716.0,72.0,56.1,19.1,18,,15,6,,6,1.71,34.0,25.0,9.0,0.47,0.14,30.2,23.4,6.7,0.35,-0.45,683,324351,GR1,12500000.0,Olympiacos Piraeus
1,GER-Bundesliga,1819,Hannover 96,Uffe Bech,DEN,FW,25.0,1993.0,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,0.0,3.2,DEN,FW,25.0,1993.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,DEN,FW,25.0,1993.0,0.2,9.0,14.0,64.3,112.0,23.0,6.0,8.0,75.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.7,0.5,-0.7,2.0,0.0,0.0,0.0,1.0,DEN,FW,25.0,1993.0,0.2,14.0,13.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,DEN,FW,25.0,1993.0,0.2,2.0,9.47,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,FW,25.0,1993.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,FW,25.0,1993.0,0.2,16.0,0.0,1.0,7.0,9.0,2.0,16.0,3.0,2.0,66.7,1.0,33.3,9.0,87.0,37.0,3.0,1.0,0.0,0.0,1.0,12.0,4.0,DEN,FW,25,1993,2,19.0,10.0,0.6,0.2,0,,0,2,9.0,3,0.0,0.0,2.0,-2.0,-9.47,-8.35,0.7,0.1,0.6,2.78,3.71,265,94939,GR1,375000.0,Panathinaikos Athens
2,GER-Bundesliga,1920,Paderborn 07,Mohamed Dräger,TUN,DF,23.0,1996.0,18.0,16.0,1455.0,16.2,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,1.2,1.8,61.0,45.0,61.0,0.06,0.19,0.25,0.06,0.25,0.04,0.08,0.11,0.04,0.11,TUN,DF,23.0,1996.0,16.2,1.0,14.0,2.0,14.3,0.87,0.12,0.07,0.5,21.4,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,TUN,DF,23.0,1996.0,16.2,621.0,821.0,75.6,11118.0,3465.0,275.0,328.0,83.8,256.0,321.0,79.8,73.0,101.0,72.3,3.0,1.2,1.1,1.8,15.0,27.0,12.0,3.0,45.0,TUN,DF,23.0,1996.0,16.2,821.0,646.0,172.0,11.0,1.0,8.0,42.0,161.0,0.0,0.0,0.0,0.0,621.0,3.0,28.0,TUN,DF,23.0,1996.0,16.2,30.0,1.86,20.0,5.0,1.0,2.0,2.0,0.0,5.0,0.31,4.0,0.0,0.0,1.0,0.0,0.0,TUN,DF,23.0,1996.0,16.2,32.0,21.0,22.0,8.0,2.0,14.0,33.0,42.4,19.0,17.0,5.0,12.0,18.0,50.0,39.0,0.0,TUN,DF,23.0,1996.0,16.2,1036.0,49.0,334.0,481.0,241.0,26.0,1036.0,45.0,15.0,33.3,30.0,66.7,563.0,4068.0,1982.0,61.0,32.0,13.0,26.0,20.0,570.0,61.0,TUN,DF,23,1996,18,1455.0,81.0,47.5,16.2,16,85.0,10,2,47.0,15,0.33,17.0,42.0,-25.0,-1.55,-0.87,17.2,34.9,-17.7,-1.09,-0.51,683,192167,GR1,2033333.3333333333,Olympiacos Piraeus
3,GER-Bundesliga,2021,Eint Frankfurt,Steven Zuber,SUI,"DF,MF",28.0,1991.0,20.0,6.0,585.0,6.5,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,2.2,2.8,23.0,21.0,51.0,0.0,0.46,0.46,0.0,0.46,0.08,0.35,0.43,0.08,0.43,SUI,"DF,MF",28.0,1991.0,6.5,0.0,10.0,2.0,20.0,1.54,0.31,0.0,0.0,18.9,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,SUI,"DF,MF",28.0,1991.0,6.5,243.0,333.0,73.0,3718.0,1182.0,145.0,167.0,86.8,69.0,100.0,69.0,23.0,34.0,67.6,3.0,2.2,2.2,0.8,13.0,24.0,7.0,3.0,21.0,SUI,"DF,MF",28.0,1991.0,6.5,333.0,311.0,18.0,4.0,0.0,2.0,31.0,14.0,0.0,0.0,0.0,0.0,243.0,4.0,13.0,SUI,"DF,MF",28.0,1991.0,6.5,25.0,3.84,22.0,0.0,2.0,0.0,1.0,0.0,5.0,0.77,4.0,0.0,1.0,0.0,0.0,0.0,SUI,"DF,MF",28.0,1991.0,6.5,24.0,12.0,8.0,13.0,3.0,8.0,16.0,50.0,8.0,4.0,1.0,3.0,4.0,28.0,1.0,0.0,SUI,"DF,MF",28.0,1991.0,6.5,411.0,3.0,53.0,187.0,175.0,21.0,411.0,21.0,12.0,57.1,9.0,42.9,225.0,1260.0,614.0,23.0,13.0,6.0,15.0,7.0,285.0,51.0,SUI,"DF,MF",28,1991,20,585.0,29.0,19.1,6.5,6,58.0,0,14,17.0,13,1.95,12.0,10.0,2.0,0.31,-0.2,14.2,9.5,4.7,0.72,0.47,2441,68033,GR1,2666666.6666666665,AEK Athens
4,GER-Bundesliga,2122,Bochum,Raman Chibsah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA,MF,28,1993,0,,,,,0,,0,0,,7,,,,,,,,,,,,553,199633,GR1,250000.0,Ionikos Nikeas
5,GER-Bundesliga,2122,Leverkusen,Panagiotis Retsos,GRE,"DF,FW",22.0,1998.0,4.0,0.0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,GRE,"DF,FW",22.0,1998.0,0.4,0.0,1.0,0.0,0.0,2.81,0.0,0.0,,8.7,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,GRE,"DF,FW",22.0,1998.0,0.4,10.0,12.0,83.3,171.0,82.0,4.0,5.0,80.0,6.0,7.0,85.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,GRE,"DF,FW",22.0,1998.0,0.4,12.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,GRE,"DF,FW",22.0,1998.0,0.4,1.0,2.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRE,"DF,FW",22.0,1998.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,GRE,"DF,FW",22.0,1998.0,0.4,15.0,2.0,7.0,7.0,1.0,1.0,15.0,1.0,1.0,100.0,0.0,0.0,10.0,61.0,30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,GRE,"DF,FW",22,1998,4,32.0,8.0,1.0,0.4,0,,0,4,8.0,14,1.75,0.0,1.0,-1.0,-2.81,-3.82,0.8,0.4,0.4,1.09,0.55,683,324351,GR1,2800000.0,Olympiacos Piraeus
6,GER-Bundesliga,2223,Union Berlin,Tymoteusz Puchacz,POL,DF,23.0,1999.0,1.0,1.0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,POL,DF,23.0,1999.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,POL,DF,23.0,1999.0,0.6,22.0,36.0,61.1,367.0,71.0,12.0,15.0,80.0,8.0,12.0,66.7,2.0,7.0,28.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,POL,DF,23.0,1999.0,0.6,36.0,27.0,8.0,1.0,0.0,0.0,5.0,4.0,3.0,1.0,0.0,0.0,22.0,1.0,1.0,POL,DF,23.0,1999.0,0.6,2.0,3.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POL,DF,23.0,1999.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,POL,DF,23.0,1999.0,0.6,44.0,1.0,5.0,19.0,20.0,0.0,44.0,2.0,0.0,0.0,1.0,50.0,21.0,82.0,31.0,0.0,0.0,0.0,4.0,0.0,24.0,9.0,POL,DF,23,1999,1,58.0,58.0,1.9,0.6,1,58.0,0,0,,2,3.0,0.0,1.0,-1.0,-1.55,-1.97,0.2,1.0,-0.8,-1.27,-1.15,265,361575,GR1,1500000.0,Panathinaikos Athens
